Date,COUNTRY_CODE,panic_index,media_hype_index,fake_news_index,sentiment_index,infodemic_index,media_coverage_index,Retornos_BTC,volatilidad,gfi,deaths_per_day,cases_per_day,musk_tweet
2020-07-17,XX,3.07,37.78,0.45,-9.28,56.99,73.69,0.2096417007004294,19.1650390625,0.5164473464834097,13982.0,475048.0,0
2020-07-18,XX,2.76,38.55,0.56,-9.38,56.03,73.66,0.0835311927582492,7.6474609375,0.5170319276898114,13000.0,470330.0,0
2020-07-19,XX,2.95,38.51,0.52,-9.39,52.1,71.25,0.2919331794375805,26.77734375,0.5165080687369361,9782.0,423722.0,0
2020-07-20,XX,3.15,40.21,0.56,-8.3,48.05,72.71,-0.2352685560559483,-21.5859375,0.5157213856106766,7844.0,416642.0,0
2020-07-21,XX,2.7,37.49,0.41,-7.01,57.26,72.18,2.2726572419009328,210.65625,0.5155156640375047,12714.0,485988.0,0
2020-07-22,XX,2.64,38.28,0.58,-7.45,55.76,73.86,1.5923467431184803,150.4755859375,0.5156759696346277,14742.0,550548.0,0
2020-07-23,XX,3.1,37.3,0.38,-6.86,56.11,73.87,0.5831453188377249,55.708984375,0.5158476682831721,13284.0,559668.0,0
2020-07-24,XX,2.6,39.49,0.47,-9.38,57.95,74.39,-0.4621806400934839,-44.1796875,0.5165224117466917,12910.0,567148.0,0
2020-07-25,XX,2.67,37.45,0.49,-16.34,58.53,74.39,1.4595935230040646,140.220703125,0.5170642713310596,12144.0,499640.0,0
2020-07-26,XX,3.49,39.59,0.52,-19.33,53.66,71.83,2.329289732455888,228.0537109375,0.5162313913732521,8706.0,424130.0,0
2020-07-27,XX,3.24,39.05,0.54,-12.41,51.7,72.92,10.400866598506177,1085.7060546875,0.515295033081925,10556.0,468292.0,0
2020-07-28,XX,2.81,40.12,0.36,-11.78,57.8,73.52,-0.7126663372121388,-78.0498046875,0.5150103110694064,13892.0,528852.0,0
2020-07-29,XX,2.99,39.02,1.01,-12.45,56.94,75.09,1.704870717725163,187.64453125,0.5147322045442307,13302.0,540996.0,0
2020-07-30,XX,2.8,38.67,1.23,-14.88,57.09,74.8,0.0967607474508187,10.74609375,0.514894571211761,13498.0,563404.0,0
2020-07-31,XX,2.47,38.55,1.08,-15.92,59.7,74.7,1.892242337372686,212.2529296875,0.5156723047229477,13170.0,575592.0,0
2020-08-01,XX,2.61,37.84,0.49,-11.39,58.0,75.81,3.779203373214687,436.1259765625,0.5157029779005733,12004.0,492062.0,0
2020-08-02,XX,3.94,35.98,0.46,-8.54,54.63,73.24,-6.191185712282564,-705.978515625,0.5148687440491856,9318.0,461378.0,0
