,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
50,2020-03-12,266184,9856,XX,128470,2602,68295,1322,4731,109,4.07,33.27,0.74,-54.37,39.28,64.62,7913.6162109375,7929.1162109375,4860.35400390625,4970.7880859375,4970.7880859375,53980357243
51,2020-03-13,294572,10844,XX,145240,16770,70222,1927,5412,681,6.06,41.48,0.72,-61.03,43.25,65.37,5017.8310546875,5838.11474609375,4106.98095703125,5563.70703125,5563.70703125,74156772075
52,2020-03-14,316814,11688,XX,156127,10887,72587,2365,5829,417,7.01,47.08,0.93,-68.52,46.81,66.99,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,5200.3662109375,36154506008
53,2020-03-15,339666,12990,XX,167316,11189,75991,3404,6460,631,7.68,55.88,1.11,-68.65,52.05,75.51,5201.06689453125,5836.64501953125,5169.283203125,5392.31494140625,5392.31494140625,33997889639
54,2020-03-16,369308,14366,XX,181353,14037,78046,2055,7156,696,8.8,61.16,1.07,-68.75,55.22,78.98,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,5014.47998046875,45368026430
55,2020-03-17,401584,16002,XX,197008,15655,80783,2737,7938,782,6.58,50.22,1.18,-66.06,50.32,75.58,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,5225.62939453125,38622642935
56,2020-03-18,440954,17846,XX,214726,17718,83248,2465,8783,845,6.32,52.11,1.26,-65.3,52.6,76.57,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,5238.4384765625,37878801016
57,2020-03-19,495570,20082,XX,242441,27715,84886,1638,9923,1140,6.49,52.98,1.44,-66.28,52.29,77.86,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,6191.19287109375,51000731797
58,2020-03-20,557798,23080,XX,272141,29700,87315,2429,11367,1444,6.98,55.71,1.32,-64.19,56.49,78.2,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,6198.7783203125,54442976103
59,2020-03-21,621948,26540,XX,304540,32399,91541,4226,13043,1676,6.9,56.92,1.23,-61.87,56.5,79.88,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,6185.06640625,42494390880
60,2020-03-22,692316,29916,XX,339280,34740,97225,5684,14713,1670,9.02,66.59,2.03,-61.44,61.76,78.7,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,5830.2548828125,40099664740
61,2020-03-23,778366,33846,XX,379835,40555,100942,3717,16623,1910,8.05,68.87,1.53,-61.38,60.46,82.61,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,6416.31494140625,46491916000
62,2020-03-24,860866,38488,XX,419257,39422,107681,6739,18762,2139,6.13,58.66,1.23,-58.6,58.68,80.8,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,6734.8037109375,48221910672
63,2020-03-25,963534,44158,XX,469074,49817,113742,6061,21359,2597,6.63,60.07,1.28,-59.14,59.12,82.2,6738.716796875,6892.51123046875,6536.92626953125,6681.06298828125,6681.06298828125,44590107888
64,2020-03-26,1089684,50254,XX,531258,62184,122124,8382,24170,2811,6.25,59.5,1.34,-59.65,59.45,81.68,6675.1708984375,6735.4638671875,6590.962890625,6716.4404296875,6716.4404296875,35319797642
65,2020-03-27,1219864,57254,XX,595104,63846,130898,8774,27407,3237,5.42,59.51,1.1,-62.63,61.89,82.12,6719.38916015625,6793.83642578125,6466.70166015625,6469.79833984375,6469.79833984375,34585598367
66,2020-03-28,1359216,64964,XX,664832,69728,139406,8508,30993,3586,5.92,59.03,1.11,-65.8,60.01,83.93,6467.25390625,6467.5009765625,6117.837890625,6242.19384765625,6242.19384765625,34885225901
67,2020-03-29,1472548,71964,XX,721756,56924,149062,9656,34274,3281,7.86,66.2,1.49,-66.34,60.23,80.99,6245.62451171875,6250.46728515625,5920.0859375,5922.04296875,5922.04296875,28373690931
68,2020-03-30,1603124,80170,XX,784148,62392,164436,15374,37969,3695,9.21,69.27,1.46,-67.33,63.87,81.45,5925.53857421875,6517.19580078125,5903.234375,6429.841796875,6429.841796875,37101651525
69,2020-03-31,1757514,89706,XX,860982,76834,178006,13570,42508,4539,5.3,58.16,1.1,-69.96,61.11,82.31,6430.6064453125,6504.51513671875,6374.162109375,6438.64453125,6438.64453125,32786468812
70,2020-04-01,1921576,101804,XX,935217,74235,193328,15322,47715,5207,4.8,55.95,1.29,-60.37,62.23,81.1,6437.3193359375,6612.57373046875,6202.37353515625,6606.7763671875,6606.7763671875,40346426266
71,2020-04-02,2087636,113656,XX,1015859,80642,210514,17186,53602,5887,5.23,56.45,1.23,-59.1,61.89,81.19,6606.7763671875,7088.24755859375,6595.91845703125,6793.62451171875,6793.62451171875,47660646124
72,2020-04-03,2255918,126152,XX,1099366,83507,226021,15507,59541,5939,4.94,58.45,1.28,-56.88,62.46,82.59,6797.396484375,7003.220703125,6673.3359375,6733.38720703125,6733.38720703125,38976504903
73,2020-04-04,2373654,138134,XX,1179675,80309,246372,20351,65495,5954,5.79,60.11,1.15,-56.76,63.14,81.4,6738.3828125,6878.95361328125,6696.48486328125,6867.52734375,6867.52734375,33185988584
74,2020-04-05,2513812,148666,XX,1251132,71457,260228,13856,70396,4901,7.06,66.34,1.51,-57.43,61.29,78.73,6862.53759765625,6883.4140625,6715.92919921875,6791.12939453125,6791.12939453125,29510409856
75,2020-04-06,2661848,160666,XX,1323995,72863,276860,16632,75772,5376,6.66,68.46,1.39,-56.7,61.61,79.84,6788.0498046875,7271.78125,6782.8896484375,7271.78125,7271.78125,46896904615
76,2020-04-07,2800656,177430,XX,1397082,73087,300270,23410,83227,7455,4.94,59.18,1.16,-55.74,63.82,81.17,7273.64404296875,7427.939453125,7136.71435546875,7176.41455078125,7176.41455078125,44243482668
77,2020-04-08,2967650,191240,XX,1482417,85335,329043,28773,89832,6605,5.16,57.33,1.38,-60.65,64.06,82.39,7179.283203125,7356.2236328125,7153.3056640625,7334.0986328125,7334.0986328125,37563249549
78,2020-04-09,3140940,207006,XX,1565396,82979,354263,25220,97036,7204,5.03,56.77,1.02,-56.6,63.25,81.75,7337.96630859375,7341.4482421875,7179.09423828125,7302.08935546875,7302.08935546875,34815139178
79,2020-04-10,3311286,221918,XX,1658529,93133,376320,22057,104212,7176,4.53,58.37,1.0,-53.98,64.82,82.95,7303.8154296875,7303.8154296875,6802.47509765625,6865.4931640625,6865.4931640625,43622840992
80,2020-04-11,3459292,234552,XX,1736450,77921,402327,26007,110353,6141,5.79,62.26,1.32,-52.6,65.26,79.76,6867.4404296875,6926.06982421875,6789.9208984375,6859.0830078125,6859.0830078125,31222085946
81,2020-04-12,3697042,246542,XX,1835034,98584,421908,19581,116194,5841,6.6,64.54,1.21,-51.93,65.48,79.41,6858.06787109375,7119.947265625,6811.078125,6971.091796875,6971.091796875,35759567632
82,2020-04-13,3839608,258740,XX,1905736,70702,448931,27023,121844,5650,6.41,63.99,1.16,-51.59,61.93,79.42,6965.61669921875,6965.61669921875,6668.259765625,6845.03759765625,6845.03759765625,38619308647
83,2020-04-14,4007066,273028,XX,1976954,71218,474522,25591,128513,6669,4.65,57.9,1.37,-51.47,63.73,80.27,6843.28173828125,6958.55712890625,6793.8212890625,6842.427734375,6842.427734375,34110434052
84,2020-04-15,4164400,290202,XX,2058088,81134,511149,36627,136885,8372,4.11,56.55,1.19,-56.22,65.23,80.19,6845.5615234375,6928.66455078125,6633.40283203125,6642.10986328125,6642.10986328125,32288311031
85,2020-04-16,4353234,305018,XX,2153218,95130,542300,31151,146569,9684,4.23,56.0,1.33,-61.54,64.17,81.01,6640.4541015625,7134.45068359375,6555.50439453125,7116.80419921875,7116.80419921875,46783242377
86,2020-04-17,4529224,322162,XX,2241318,88100,568597,26297,156816,10247,4.2,55.79,1.11,-65.97,63.28,80.07,7116.552734375,7167.18310546875,7050.33203125,7096.1845703125,7096.1845703125,32513423567
87,2020-04-18,4682342,334664,XX,2322016,80698,592520,23923,162707,5891,4.46,56.62,1.04,-66.77,63.66,80.04,7092.29150390625,7269.95654296875,7089.2470703125,7257.6650390625,7257.6650390625,32447188386
88,2020-04-19,4834374,345422,XX,2401537,79521,624232,31712,168413,5706,5.19,61.29,1.32,-66.35,62.79,77.77,7260.92236328125,7280.52197265625,7167.0546875,7189.4248046875,7189.4248046875,31311210215
